Longitude,Latitude,Adres,Type Lader
-1.470.908,50.922.009,WEST WAY SOUTHAMPTON Nissan ,Snellader chademo
-2.150.643,53.408.554,WEST WAY STOCKPORT Nissan ,Snellader chademo
-2.139.523,52.473.385,WEST WAY STOURBRIDGE Nissan ,Snellader chademo
-1.929.989,50.752.449,WESTOVER NISSAN ,Snellader chademo
-0.347614,50.816.998,YEOMANS Nissan ,Snellader chademo
2.899.811,42.668.171,AUTO M√?DITERRAN√?E ,Snellader chademo
5.756.235,45.161.781,Nissan AUTOLYV ,Snellader chademo
5.338.792,43.360.043,CAP JANET AUTOMOBILE ,Snellader chademo
5.430.791,43.528.294,GARAGE COURIANT ,Snellader chademo
2.395.577,48.844.894,GARAGES NATION ,Snellader chademo
1.479.969,43.540.737,LAUDIS ,Snellader chademo
7.727.763,48.624.012,LNG GRASSER ,Snellader chademo
3.876.871,43.578.499,MONTPELLIER AUTO SPORTS ,Snellader chademo
2.050.533,48.905.544,NDN ,Snellader chademo
4.389.996,43.839.142,N√?MES AUTO SPORTS ,Snellader chademo
-1.625.707,47.253.246,NISSAN NANTES ,Snellader chademo
1.917.292,48.758.739,PARIWEST ,Snellader chademo
725.614,43.703.041,PRESTIGE AUTO NISSAN NICE ,Snellader chademo
3.133.181,45.782.001,R√©publique Auto ,Snellader chademo
-3.801.886,40.465.561,A6 CORU√?A ,Snellader chademo
-4.753.977,41.660.473,EYLO MOTOR ,Snellader chademo
-2.989.611,43.285.084,LEJARZA ,Snellader chademo
2.142.877,41.355.038,MOTOR LLANSA ,Snellader chademo
-5.964.283,37.357.796,VANAUTO ,Snellader chademo
8.245.659,4.748.991,AH K√?NG AG ,Snellader chademo
9.154.143,474.454,BUGA BUCHENTAL-GARAGE AG ,Snellader chademo
7.585.985,46.755.314,GARAGE PIEREN AG ,Snellader chademo
10.824.363,59.928.043,"Birger N. Haug, Oslo ",Snellader chademo
10.496.142,59.907.845,"Birger N. Haug, Ski ",Snellader chademo
10.791.239,59.720.913,"Birger N. Haug, B√¶rum ",Snellader chademo
11.089.012,59.279.171,Brennes Auto ,Snellader chademo
8.124.694,58.172.974,S√∏rlandets Bilsenter ,Snellader chademo
5.733.447,58.870.964,√?lg√•rds Auto ,Snellader chademo
5.343.087,60.464.958,Autocenteret ,Snellader chademo
8.929.489,60.696.259,Gol Auto ,Snellader chademo
10.400.976,63.392.658,Witro Bil ,Snellader chademo
-1.599.795,54.979.351,BENFIELD MOTORS ,Snellader chademo
-3.697.228,40.446.606,REICOMSA ,Snellader chademo
12.034.449,57.791.676,H-O Enterprise ,Snellader chademo
11.965.023,5.771.767,Gatubolaget ,Snellader chademo
11.907.463,47.830.788,Irschenberg ,Snellader chademo
9.617.761,47.272.541,√?AMTC Rankweil ,Snellader chademo
9.736.969,47.488.377,Vkw-√∂kostrom Bregenz ,Snellader chademo
6.166.657,49.560.547,Nissan By Lentz ,Snellader chademo
12.584.494,55.683.262,CHoosEV K√∏benhavn ,Snellader chademo
5.740.318,58.871.563,NOR Lyse Energi  Station Sandness ,Snellader chademo
3.253.737,51.332.462,Nissan Dealer Garage Demeyere ,Snellader chademo
4.138.562,51.210.304,NissanDealer De Witte nv garage ,Snellader chademo
4.251.543,50.759.884,NissanDealer Group Duyck ,Snellader chademo
4.295.483,50.768.387,"BE Total Ruisbroek, Brussel,E19 ",Snellader chademo
4.447.595,50.925.102,Nissan Dealer Leo Peeters ,Snellader chademo
-7.892.364,53.410.816,"Westmeath, Topaz Service Station ",Snellader chademo
-169.595,55.401.428,Willowburn Sports & Leisure Center ,Snellader chademo
-2.098.901,54.972.832,Hexham ,Snellader chademo
-1.579.564,54.960.953,Gateshead International Stadium ,Snellader chademo
-1.471.524,54.923.195,Gateshead College ,Snellader chademo
565.562,53.034.101,Sint Antoniusplein 1 Sneek,Krachtstroom E-laad AL200 mennekes
6.001.324.764,51.964.459.757,Stenograaf 1 Duiven,Krachtstroom E-laad AL105 mennekes
6.067.066,50.850.823,Dr. Ackensplein 38 Kerkrade,Krachtstroom E-laad AL194 mennekes
6.015.077.001,50.891.041.841,Hoofdstraat 119 Landgraaf,Krachtstroom E-laad AL137 mennekes
6.111.437,52.787.296,Steenwijkerdiep 6 Steenwijk,Krachtstroom E-laad AL41 mennekes
6.051.544.867,51.601.616.154,Jeroen Boschstraat 16 Bergen,Krachtstroom E-laad AL62 mennekes
5.395.654.842,51.512.462.952,Raadhuisplein 1 Best,Krachtstroom E-laad AL151 mennekes
4.875.336.326,52.019.849.157,Bolwerk 1 Oudewater,Krachtstroom E-laad AL150 mennekes
6.046.701.147,51.864.049.439,Heerbaan 115 Millingen aan de Rijn,Krachtstroom E-laad AL148 mennekes
5.828.564.497,52.331.264.031,Elspeterbosweg 14 Vierhouten,Krachtstroom E-laad AL113 mennekes
5.393.878.344,51.521.178.227,Wilg 2 Best,Krachtstroom E-laad AL149 mennekes
5.786.377.429,50.946.990.448,Aan de Drie Heren 11 Beek (Lb),Krachtstroom E-laad AL126 mennekes
5.404.414.275,51.421.792.659,Geer 10 Veldhoven,Krachtstroom E-laad AL125 mennekes
5.404.450.519,51.421.796.338,Geer 10 Veldhoven,Krachtstroom E-laad AL123 mennekes
6.717.011.855,51.972.604.748,Balinkesstraat 4 Winterswijk,Krachtstroom E-laad AL114 mennekes
5.102.158.228,52.058.968.784,Griffioenlaan 2 Utrecht,Krachtstroom E-laad DB0108 mennekes
6.420.809.024,52.161.691.416,Nieuweweg 1 Lochem,Krachtstroom E-laad AL112 mennekes
6.721.174.777,51.968.268.395,Dingstraat 1 Winterswijk,Krachtstroom E-laad AL111 mennekes
6.714.567.273,5.196.933.401,Stationsstraat 15 Winterswijk,Krachtstroom E-laad AL110 mennekes
5.735.126,50.875.852,Ambyerweg 2 Meerssen,Krachtstroom E-laad AL81 mennekes
579.269,53.198.589,Willemskade 60Boot Leeuwarden,Krachtstroom E-laad AL103 mennekes
5.784.039.141,52.377.378.499,Ds. Martiniuslaan 24 Nunspeet,Krachtstroom E-laad AL143 mennekes
48.927.555,522.003.367,Vossestaart 46 Wilnis,Krachtstroom E-laad AL58 mennekes
578.914,5.320.722,Spanjaardslaan 101 Leeuwarden,Krachtstroom E-laad AL102 mennekes
5.796.056.986,53.198.155.074,Zuiderplein 2 Leeuwarden,Krachtstroom E-laad AL101 mennekes
6.131.322.919,52.016.443.839,Koepoortwal 18 Doesburg,Krachtstroom E-laad AL75 mennekes
6.135.469.459,5.201.225.608,Kloostertuin 1 Doesburg,Krachtstroom E-laad AL74 mennekes
6.750.736.436,53.001.877.461,Verlengde Asserstraat 67 Gieten,Krachtstroom E-laad AL116 mennekes
6.116.738.142,52.783.161.607,Vendelweg 1 Steenwijk,Krachtstroom E-laad AL73 mennekes
6.278.195.956,53.213.334.668,Hoofdstraat 97 Grootegast,Krachtstroom E-laad AL132 mennekes
6.388.122.402,53.164.585.179,Tolberterstraat 41 Leek,Krachtstroom E-laad AL129 mennekes
6.380.507.569,53.165.319.142,Industriepark 6 Leek,Krachtstroom E-laad AL121 mennekes
5.770.394.684,53.200.816.798,Heliconweg 52 Leeuwarden,Krachtstroom E-laad AL63 mennekes
5.783.971.412,52.369.975.597,Plesmanlaan 1 Nunspeet,Krachtstroom E-laad AL118 mennekes
48.961.882,5.219.982.933,Molmlaan 15 Wilnis,Krachtstroom E-laad AL60 mennekes
4.867.464.424,52.207.434.255,Burgemeester Haitsmaplein 1 Mijdrecht,Krachtstroom E-laad AL57 mennekes
6.129.077.912,52.797.800.302,Oostermeentherand 6 Steenwijk,Krachtstroom E-laad AL52 mennekes
5.281.521.513,51.685.610.467,Vlijmenseweg 10 's-Hertogenbosch,Krachtstroom E-laad AL89 mennekes
5.281.580.521,51.685.605.811,Vlijmenseweg 10 's-Hertogenbosch,Krachtstroom E-laad AL90 mennekes
5.335.825.193,5.167.793.442,Pettelaarpark 59 's-Hertogenbosch,Krachtstroom E-laad AL88 mennekes
5.322.409,51.700.209,Stadionlaan 9 's-Hertogenbosch,Krachtstroom E-laad AL85 mennekes
5.092.017.224,53.297.413.394,Fortweg 1a Vlieland,Krachtstroom E-laad AL135 mennekes
5.069.965.342,5.329.669.646,Boereglop 4 Vlieland,Krachtstroom E-laad AL136 mennekes
5.284.476.283,53.383.713.758,Heereweg 1 Midsland Terschelling,Krachtstroom E-laad AL134 mennekes
4.206.547.963,51.532.553.687,Hof van Tholen 2 Tholen,Krachtstroom E-laad AL29 mennekes
5.634.636.339,53.441.401.296,Jan Jacobsweg 6 Hollum Ameland,Krachtstroom E-laad AL156 mennekes
482.119,52.440.324,Zeemansstraat 95 Zaandam,Krachtstroom E-laad AL91 mennekes
4.821.198.047,5.244.030.438,Zeemansstraat 95 Zaandam,Krachtstroom E-laad AL92 mennekes
4.812.681,52.438.257,Ebbehout 31a Zaandam,Krachtstroom E-laad AL93 mennekes
5.874.121,51.767.061,Singel 1 Molenhoek,Krachtstroom E-laad AL196 mennekes
6.022.646,50.904.731,Beethovensingel 15 Landgraaf,Krachtstroom E-laad AL197 mennekes
4.397.340.775,51.997.182.889,Importweg 1 Delfgauw,Krachtstroom E-laad AL84 mennekes
5.770.455.838,53.200.878.495,Heliconweg 52 Leeuwarden,Krachtstroom E-laad AL64 mennekes
4.789.695.598,52.493.088.233,Marktstraat 41 Wormerveer,Krachtstroom E-laad AL95 mennekes
5.790.615,53.202.734,Oldehoofsterkerkhof 2 Leeuwarden,Krachtstroom E-laad AL104 mennekes
5.884.437,51.750.687,Koningin Julianastraat 12 Mook,Krachtstroom E-laad AL198 mennekes
5.837.330.819,51.175.666.376,Australiestraat 1 Ittervoort,Krachtstroom E-laad AL139 mennekes
5.888.429.047,50.815.054.908,Willem Vliegenstraat 8 Gulpen,Krachtstroom E-laad AL140 mennekes
689.246.279,52.222.630.405,Stationsplein 33 Enschede,Krachtstroom E-laad AL147 mennekes
6.053.947.092,5.129.081.458,Kerkplein 5 Kessel,Krachtstroom E-laad AL142 mennekes
5.831.957.818,50.941.138.939,Mergelakker 25 Spaubeek,Krachtstroom E-laad AL115 mennekes
6.868.488.439,53.135.508.746,Kerkstraat 2 Muntendam,Krachtstroom E-laad AL67 mennekes
5.310.709.956,51.685.475.887,Hekellaan 2 's-Hertogenbosch,Krachtstroom E-laad AL714 mennekes
628.342.548,51.945.977.726,Braamtseweg 12 Doetinchem,Krachtstroom E-laad AL96 mennekes
62.472,51.875.776,Touwerslagersbaan 1 's-Heerenberg,Krachtstroom E-laad AL97 mennekes
6.052.367,50.915.793,Pastoor Scheeperstraat 4 Landgraaf,Krachtstroom E-laad AL199 mennekes
5.667.454,53.031.844,Oppenhuizerweg 58 Sneek,Krachtstroom E-laad AL201 mennekes
5.666.251,53.034.926,Normandiaplein 7 Sneek,Krachtstroom E-laad AL202 mennekes
5.780.901,50.987.055,Mauritslaan 6 Urmond,Krachtstroom E-laad AL206 mennekes
522.631,51.629.814.378,Sint Jorisstraat 5 Helvoirt,Krachtstroom E-laad AL71 mennekes
5.041.077,51.562.499,Warandelaan 2 Tilburg,Krachtstroom E-laad AL99 mennekes
44.575.506,515.891.616,Wilhelminastraat 4 Oud Gastel,Krachtstroom E-laad AL191 mennekes
6.892.248.331,52.222.612.965,Stationsplein 33 Enschede,Krachtstroom E-laad AL153 mennekes
6.951.754.688,52.989.755.516,Geert Teisplein 2 Stadskanaal,Krachtstroom E-laad AL98 mennekes
5.993.624,51.140.817,Schaapsweg 26 Sint Odilienberg,Krachtstroom E-laad AL174 mennekes
5.823.596,50.820.655,Schinkepoort 69 Margraten,Krachtstroom E-laad AL173 mennekes
5.774.451,50.947.414,Dorine Verschureplein 9 Elsloo,Krachtstroom E-laad AL106 mennekes
5.779.935,51.275.555,Pastoor Maesplein 15 Nederweert-Eind,Krachtstroom E-laad AL177 mennekes
6.022.822.508,51.189.156.206,Faunasingel 32 Roermond,Krachtstroom E-laad AL163 mennekes
6.035.927,51.231.546,Markt 12 Swalmen,Krachtstroom E-laad AL172 mennekes
5.935.417,512.496,Roggelseweg 58 Haelen,Krachtstroom E-laad AL184 mennekes
5.781.185,51.298.161,Aerthijsplein 7 Ospel,Krachtstroom E-laad AL187 mennekes
5.931.367,51.273.489,Heldensedijk 5 Roggel,Krachtstroom E-laad AL185 mennekes
5.744.922,51.284.682,Azaleastraat 1 Nederweert,Krachtstroom E-laad AL180 mennekes
6.067.117,50.873.806,Sint Pieterstraat 3 Kerkrade,Krachtstroom E-laad AL179 mennekes
5.972.824,51.699.727,Zuid-Oostwal 33 Gennep,Krachtstroom E-laad AL176 mennekes
5.792.772,50.941.586,Veldekelaan 2 Beek (Lb),Krachtstroom E-laad AL188 mennekes
577.637,50.968.073,Stadhouderslaan 200 Stein,Krachtstroom E-laad AL181 mennekes
5.993.369,5.119.638,Wilhelminaplein 28 Roermond,Krachtstroom E-laad AL182 mennekes
5.979.807,5.133.028,Wilhelminastraat 18 Panningen,Krachtstroom E-laad AL167 mennekes
6.047.949,51.358.644,Achter de Hoven 9 Maasbree,Krachtstroom E-laad AL170 mennekes
6.058.283,50.861.014,Museumplein 2 Kerkrade,Krachtstroom E-laad AL212 mennekes
5.842.945.458,50.967.291.973,Stationstraat 16 Geleen,Krachtstroom E-laad AL213 mennekes
6.037.921,51.412.954,Pastoor Vullinghsstraat 2 Sevenum,Krachtstroom E-laad AL214 mennekes
5.957.723,51.235.516,De Pastorij 10 Haelen,Krachtstroom E-laad AL215 mennekes
6.035.633,50.908.078,Sun-Plein 24 Landgraaf,Krachtstroom E-laad AL193 mennekes
4.824.835,52.665.265,Parelhof 1 Heerhugowaard,Krachtstroom E-laad AL222 mennekes
4.824.674,52.665.376,Parelhof 1 Heerhugowaard,Krachtstroom E-laad AL223 mennekes
4.809.844,52.645.205,Hof van Ra 11 Heerhugowaard,Krachtstroom E-laad AL231 mennekes
4.825.487,52.669.851,Stationsweg 102 Heerhugowaard,Krachtstroom E-laad AL232 mennekes
4.845.062,52.663.133,Hortensialaan 25 Heerhugowaard,Krachtstroom E-laad AL233 mennekes
4.825.401,52.653.784,Donge 102 Heerhugowaard,Krachtstroom E-laad AL234 mennekes
4.843.678,52.670.013,Raadhuisplein 46 Heerhugowaard,Krachtstroom E-laad AL235 mennekes
485.396,52.675.016,Berckheidelaan 8 Heerhugowaard,Krachtstroom E-laad AL236 mennekes
3.852.446,51.598.547,Havelaarstraat 101d Colijnsplaat,Krachtstroom E-laad AL217 mennekes
3.898.974,51.460.052,Burgemeester Jansenstraat 11 's-Gravenpolder,Krachtstroom E-laad AL218 mennekes
3.703.761,51.571.695,Veerweg 46 Kamperland,Krachtstroom E-laad AL216 mennekes
411.975,51.430.441,Kerkpolder 30 Krabbendijke,Krachtstroom E-laad AL229 mennekes
6.030.486,52.011.317,Schietbergseweg 6 Rheden,Krachtstroom E-laad AL230 mennekes
4.455.782,51.580.063,Watermolen 25 Oud Gastel,Krachtstroom E-laad AL226 mennekes
568.293,51.555.248,Gelind 1 Gemert,Krachtstroom E-laad AL251 mennekes
5.637.767,51.509.626,Kouwenberg 37 Aarle Rixtel,Krachtstroom E-laad AL219 mennekes
5.741.917,51.504.201,Dorpsstraat 25 Bakel,Krachtstroom E-laad AL252 mennekes
5.811.242,51.551.579,Meester Hertsigstraat 48 De Rips,Krachtstroom E-laad AL253 mennekes
5.629.479,51.538.498,Piet van Thielplein 18 Beek en Donk,Krachtstroom E-laad AL224 mennekes
7.015.363,52.930.116,Willem Diemerplein 4 Musselkanaal,Krachtstroom E-laad AL256 mennekes
6.188.102.813,52.697.687.981,Grote Oever 160 Meppel,Krachtstroom E-laad AL250 mennekes
4.531.504,51.587.333,Parklaan 15 Oudenbosch,Krachtstroom E-laad AL257 mennekes
5.595.364,51.518.087,Heuvel 11 Lieshout,Krachtstroom E-laad AL225 mennekes
4.494.663.152,52.263.594.417,Klein Schoolstraat 4 Noordwijkerhout,Krachtstroom E-laad AL237 mennekes
5.439.952,5.138.784,Meester Slootsweg 3 Waalre,Krachtstroom E-laad AL238 mennekes
5.577.031,51.379.857,Schoolstraat 10 Heeze,Krachtstroom E-laad AL242 mennekes
5.570.087,51.385.165,De Laarstukken 2 Heeze,Krachtstroom E-laad AL243 mennekes
4.474.139,5.225.239,Langelaan 3 Noordwijkerhout,Krachtstroom E-laad AL258 mennekes
4.153.478,51.899.854,Ruggeplein 2 Brielle,Krachtstroom E-laad AL265 mennekes
4.168.458,51.904.561,Slagveld 36 Brielle,Krachtstroom E-laad AL266 mennekes
547.706,51.402.338,Laan van Diepenvoorde 1 Waalre,Krachtstroom E-laad AL289 mennekes
4.038.543,51.445.091,Blauwhoefseweg 1 Kruiningen,Krachtstroom E-laad AL259 mennekes
3.896.407.167,51.498.073.283,Stationspark 28 Goes,Krachtstroom E-laad AL267 mennekes
5.663.071.333,51.963.248.181,Niemeijerstraat 25 Wageningen,Krachtstroom E-laad AL263 mennekes
5.667.410.594,51.970.929.776,Olympiaplein 13 Wageningen,Krachtstroom E-laad AL262 mennekes
5.660.877.661,51.966.283,Plantsoen 3 Wageningen,Krachtstroom E-laad AL264 mennekes
5.959.707,50.949.938,Kennedylaan 104 Brunssum,Krachtstroom E-laad AL227 mennekes
5.968.594,50.947.106,Olympiade 30 Brunssum,Krachtstroom E-laad AL228 mennekes
4.077.665.847,51.547.769.768,Haven 10 Sint Maartensdijk,Krachtstroom E-laad AL260 mennekes
571.475.544,51.381.396.668,Laan ten Roode 71 Someren,Krachtstroom E-laad AL162 mennekes
5.733.611,51.356.531,Nieuwendijk 35 Someren-Eind,Krachtstroom E-laad AL171 mennekes
5.551.836,5.147.438,Vincent van Goghplein 95 Nuenen,Krachtstroom E-laad AL145 mennekes
5.547.302,51.474.648,Kloosterstraat 1 Nuenen,Krachtstroom E-laad AL144 mennekes
645.804,53.249.713,Heereweg 1 Aduard,Krachtstroom E-laad AL220 mennekes
6.405.603,53.248.827,Hooiweg 9 Zuidhorn,Krachtstroom E-laad AL221 mennekes
4.103.673,51.548.762,Spuidamstraat 3a Scherpenisse,Krachtstroom E-laad AL276 mennekes
4.164.397.828,51.619.815.194,Zijpestraat 36 St. Philipsland,Krachtstroom E-laad AL277 mennekes
3.746.689,51.585.332,Voorstraat 26 Wissenkerke,Krachtstroom E-laad AL278 mennekes
4.105.872.373,51.602.579.285,Havenplein 19 Sint-Annaland,Krachtstroom E-laad AL279 mennekes
7.076.687,52.876.104,Boslaan 6 Ter Apel,Krachtstroom E-laad AL291 mennekes
5.750.973,51.405.084,Floraplein 2 Asten,Krachtstroom E-laad AL274 mennekes
5.744.197,51.403.242,Koningsplein 16 Asten,Krachtstroom E-laad AL275 mennekes
3.605.495,51.496.444,Domburgse Schuitvlot 17 Middelburg,Krachtstroom E-laad AL285 mennekes
5.491.228,51.510.397,Taylorstraat 5 Son,Krachtstroom E-laad AL283 mennekes
551.231,51.518.936,Van Gentlaan 64 Breugel,Krachtstroom E-laad AL284 mennekes
5.312.281,51.505.273,Dr. Van Wamelstraat 19 Oirschot,Krachtstroom E-laad AL282 mennekes
5.320.542,51.358.011,Willibrorduslaan 78 Eersel,Krachtstroom E-laad AL271 mennekes
5.312.016,51.357.239,Eikenburg 1 Eersel,Krachtstroom E-laad AL270 mennekes
5.289.702,51.419.898,Jan Smuldersstraat 28 Vessem,Krachtstroom E-laad AL272 mennekes
5.935.041.989,53.218.561.057,Stationsweg 5 Hurdegaryp,Krachtstroom E-laad AL288 mennekes
5.989.779.966,53.189.282.853,Raadhuisweg 7 Burgum,Krachtstroom E-laad AL244 mennekes
4.143.291,51.544.994,Kerkplein 1 Poortvliet,Krachtstroom E-laad AL280 mennekes
6.422.142,52.282.877,Zwartepad 8 Holten,Krachtstroom E-laad AL158 mennekes
5.398.275,51.331.446,Dorpstraat 11 Westerhoven,Krachtstroom E-laad AL295 mennekes
5.259.214,51.370.317,Oude Provincialeweg 10 Hapert,Krachtstroom E-laad AL290 mennekes
6.896.013,52.223.519,Molenstraat 74 Enschede,Krachtstroom E-laad AL141 mennekes
6.895.963,52.223.519,Molenstraat 74 Enschede,Krachtstroom E-laad AL146 mennekes
4.958.393.956,5.209.094.723,Oudeland 118 Harmelen,Krachtstroom E-laad AL371 mennekes
4.903.709.079,5.208.601.951,La Fontaineplein 19 Woerden,Krachtstroom E-laad AL304 mennekes
